"index","timeReal","AccYHip","GyroYHip","AccYKnee","GyroYKnee","Occupancy"
0,2516,-160,7,60,8,1
1,2546,-216,4,-172,0,1
2,2575,-320,-29,-152,26,1
3,2605,-324,26,-168,16,1
4,2634,-340,-9,-196,14,1
5,2672,-464,5,-300,28,1
6,2702,-508,13,-232,31,1
7,2731,-548,25,-240,20,1
8,2760,-384,0,-332,12,1
9,2790,-256,17,-180,-19,1
10,2820,-336,-52,-144,-4,1
11,2849,-420,-9,-80,-8,1
12,2878,-240,20,-196,33,1
13,2908,-360,21,-188,14,1
14,2937,-524,31,-208,1,1
15,2967,-488,-332,-252,-28,1
16,2997,-456,-74,-208,11,1
17,3031,-440,-116,-116,4,1
18,3059,-456,46,-80,52,1
19,3088,-388,81,-160,37,1
20,3117,-528,144,-96,53,1
21,3145,-820,-74,-244,37,1
22,3173,-604,-3,-388,15,1
23,3202,-652,25,-304,8,1
24,3230,-600,82,-164,9,1
25,3259,-520,150,68,23,1
26,3288,-540,141,56,45,1
27,3316,-516,225,-60,-1,1
28,3345,-476,132,12,-2,1
29,3373,-300,146,96,14,1
30,3401,-420,139,16,31,1
31,3430,-380,186,-116,64,1
32,3459,-540,181,8,39,1
33,3487,-588,226,104,36,1
34,3515,-512,158,80,-39,1
35,3544,-364,171,224,11,1
36,3578,-600,155,-76,16,1
37,3606,-588,81,-148,25,1
38,3635,-576,64,-140,-8,1
39,3663,-608,71,92,-30,1
40,3692,-680,19,8,4,1
41,3721,-712,23,128,-14,1
42,3748,-800,-19,-176,-27,1
43,3777,-876,-85,-160,-11,1
44,3806,-668,-45,-304,-18,1
45,3834,-680,-45,140,-54,1
46,3863,-608,-26,116,-43,1
47,3892,-476,27,300,-12,1
48,3920,-456,-51,216,-4,1
49,3949,-508,22,4,-17,1
50,3977,-416,29,72,10,1
51,4005,-496,33,-60,27,1
52,4034,-644,-18,-44,27,1
53,4063,-668,59,116,26,1
54,4091,-644,-1,56,23,1
55,4117,-620,45,-28,-3,1
56,4145,-608,21,36,28,1
57,4173,-636,10,28,-6,1
58,4202,-648,15,-28,-16,1
59,4231,-756,14,-24,-22,1
60,4258,-544,-6,44,-14,1
61,4287,-752,30,-4,-11,1
62,4316,-656,-9,-128,-34,1
63,4344,-688,-6,-56,-45,1
64,4373,-552,-47,-40,-32,1
65,4402,-576,-7,68,-44,1
66,4429,-516,-6,104,-14,1
67,4458,-316,-1,12,-37,1
68,4487,-372,10,188,14,1
69,4515,-428,-20,-20,35,1
70,4544,-364,28,152,29,1
71,4572,-448,-40,124,44,1
72,4600,-388,42,92,50,1
73,4629,-452,41,56,24,1
74,4658,-560,27,-144,52,1
75,4690,-620,-13,-192,-8,1
76,4719,-700,-21,-160,5,1
77,4747,-832,25,-32,-28,1
78,4775,-884,-35,56,-68,1
79,4804,-676,-43,-136,-104,1
80,4833,-556,-82,-160,-87,1
81,4861,-448,-75,-180,-119,1
82,4890,-316,-43,48,-128,1
83,4918,-72,-29,200,-49,1
84,4946,-196,-20,264,-58,1
85,4975,-184,26,276,-11,1
86,5004,-244,-7,92,-7,1
87,5032,-284,2,148,5,1
88,5060,-308,82,180,35,1
89,5089,-368,37,-92,61,1
90,5117,-376,38,-40,64,1
91,5146,-252,50,212,51,1
92,5175,-112,30,300,68,1
93,5202,-184,113,80,50,1
94,5236,-452,31,132,72,1
95,5265,-360,33,176,46,1
96,5294,-324,33,196,56,1
97,5322,-404,85,164,26,1
98,5351,-644,28,0,25,1
99,5379,-480,52,44,20,1
100,5407,-176,29,36,39,1
101,5436,-184,19,184,15,1
102,5464,-312,-1,208,14,1
103,5492,-120,11,200,19,1
104,5521,-272,19,216,5,1
105,5550,-284,48,204,3,1
106,5577,-248,-20,124,11,1
107,5606,-292,-17,92,4,1
108,5635,-452,-9,24,-9,1
109,5663,-288,-52,-16,-37,1
110,5691,-336,-93,216,-19,1
111,5720,-332,-65,164,-29,1
112,5748,-128,-115,248,-20,1
113,5781,256,22,304,-1,1
114,5810,104,52,188,65,1
115,5838,-48,51,252,52,1
116,5867,-104,-3,112,40,1
117,5895,-164,55,40,28,1
118,5923,-384,41,68,60,1
119,5952,-536,68,204,28,1
120,5981,-528,1,-4,27,1
121,6008,-504,15,-40,-1,1
122,6037,-608,56,120,1,1
123,6066,-232,11,-76,-13,1
124,6094,-640,-96,-40,-25,1
125,6122,-304,-48,-8,-49,1
126,6151,-288,-10,128,2,1
127,6179,-212,47,264,4,1
128,6208,-248,44,204,65,1
129,6236,-336,57,216,61,1
130,6265,-404,39,40,84,1
131,6301,-256,60,-80,89,1
132,6336,-540,-17,-56,64,1
133,6365,-388,172,-76,47,1
134,6393,-400,-18,112,99,1
135,6422,-344,-3,-56,63,1
136,6451,-356,-55,56,105,1
137,6478,-420,34,-96,115,1
138,6507,-452,-6,-152,125,1
139,6536,-664,60,-280,107,1
140,6564,-892,96,-388,113,1
141,6593,-900,53,-300,65,1
142,6622,-768,39,-368,87,1
143,6650,-852,49,-88,65,1
144,6679,-808,24,-56,84,1
145,6708,-628,0,-264,54,1
146,6736,-568,150,-120,-6,1
147,6765,-756,102,-372,17,1
148,6794,-764,95,-344,107,1
149,6822,-696,111,-228,75,1
150,6855,-880,36,-452,58,1
151,6884,-876,82,-372,3,1
152,6913,-996,-5,-504,4,1
153,6941,-804,-10,-552,10,1
154,6970,-856,-9,-384,-14,1
155,6999,-712,-18,-244,-28,1
156,7026,-804,-35,-464,-39,1
157,7056,-724,-31,-696,-26,1
158,7084,-644,-79,-500,-53,1
159,7112,-564,-76,16,-51,1
160,7141,-360,-90,524,-36,1
161,7170,-412,-64,716,-115,1
162,7198,-320,-12,132,-95,1
163,7227,-484,-33,-80,-126,1
164,7256,-256,61,340,-90,1
165,7284,-80,35,172,-98,1
166,7313,-96,-42,332,-94,1
167,7342,-164,37,48,-73,1
168,7375,-208,23,260,-51,1
169,7404,-184,9,324,-36,1
170,7433,-28,71,416,-38,1
171,7461,-200,43,228,-27,1
