"index","timeReal","AccYHip","GyroYHip","AccYKnee","GyroYKnee","Occupancy"
0,2495,144,17,664,-231,0
1,2525,564,-214,644,-48,0
2,2554,316,-286,700,-45,0
3,2584,520,-344,872,-7,0
4,2614,308,-161,612,19,0
5,2642,-96,-32,448,-21,0
6,2672,-936,70,-384,-72,0
7,2702,-744,-23,-580,-78,0
8,2732,-332,-34,-196,-83,0
9,2761,-368,223,8,-92,0
10,2790,-168,29,584,-141,0
11,2820,416,-283,672,-151,0
12,2849,232,74,360,-52,0
13,2879,-364,189,304,-28,0
14,2909,-264,95,528,-67,0
15,2938,-316,37,240,-92,0
16,2967,-508,-29,20,-90,0
17,3001,-576,-90,24,-114,0
18,3030,-364,-138,92,-42,0
19,3058,-128,-129,444,-33,0
20,3087,-216,-46,976,-44,0
21,3116,-244,-130,1080,-34,0
22,3144,-244,-281,216,-39,0
23,3173,-336,-208,92,-24,0
24,3202,-308,-80,152,29,0
25,3229,-180,52,416,-3,0
26,3258,-252,11,252,39,0
27,3287,-508,93,156,59,0
28,3315,-832,64,176,67,0
29,3343,-792,120,4,68,0
30,3372,-764,129,200,118,0
31,3400,-600,143,272,86,0
32,3429,-520,156,152,110,0
33,3458,-792,128,-20,109,0
34,3485,-660,-47,-164,120,0
35,3520,-676,96,-128,118,0
36,3549,-720,71,68,69,0
37,3576,-488,45,44,84,0
38,3605,-428,4,196,52,0
39,3634,-352,21,208,93,0
40,3662,-496,-12,88,99,0
41,3691,-620,40,0,114,0
42,3719,-548,54,116,100,0
43,3747,-564,25,84,71,0
44,3776,-636,33,32,67,0
45,3804,-724,46,8,61,0
46,3832,-716,-33,68,47,0
47,3861,-672,37,100,59,0
48,3890,-340,-20,56,11,0
49,3917,-456,-88,228,-38,0
50,3946,-508,71,248,10,0
51,3975,-628,54,216,25,0
52,4003,-500,-34,112,26,0
53,4032,-376,-79,16,6,0
54,4060,-404,98,68,5,0
55,4092,-324,72,60,0,0
56,4121,-352,116,188,34,0
57,4150,-484,1,72,25,0
58,4178,-592,-14,-32,16,0
59,4206,-444,72,204,-2,0
60,4235,-536,-61,-40,16,0
61,4263,-480,16,68,24,0
62,4292,-420,-5,-20,-16,0
63,4320,-316,20,32,-31,0
64,4348,-272,141,88,-36,0
65,4377,-264,63,-180,-81,0
66,4406,-532,-19,8,-41,0
67,4433,-524,80,-60,-124,0
68,4462,-516,101,368,-43,0
69,4491,-504,199,248,-49,0
70,4519,-748,222,324,-7,0
71,4548,-560,155,348,-49,0
72,4577,-612,61,120,-55,0
73,4604,-456,-194,-36,-99,0
74,4639,-420,-76,372,-78,0
75,4668,-416,90,-120,-76,0
76,4697,-568,75,356,-85,0
77,4724,-592,-90,432,-59,0
78,4753,-364,-24,384,-43,0
79,4782,-468,-120,320,10,0
80,4810,-428,-80,296,-2,0
81,4839,-272,13,368,-35,0
82,4868,-384,67,80,5,0
83,4895,-624,82,320,-46,0
84,4924,-128,-68,556,-49,0
85,4953,-124,-11,520,-47,0
86,4981,-40,-34,400,15,0
87,5010,-384,-16,348,-5,0
88,5038,-328,36,296,-3,0
89,5066,-240,-40,372,-27,0
90,5095,-180,79,396,-12,0
91,5124,-152,87,452,-52,0
92,5152,-112,-85,348,-42,0
93,5185,-128,-96,368,-16,0
94,5214,-400,-187,284,-7,0
95,5242,-172,-89,420,11,0
96,5270,-132,54,508,-5,0
97,5299,-96,106,384,-23,0
98,5327,-348,27,264,21,0
99,5355,-280,-66,364,42,0
100,5384,-216,-61,356,35,0
101,5412,-328,-227,292,20,0
102,5441,-196,-136,512,4,0
103,5470,-296,-129,220,37,0
104,5498,-244,47,296,45,0
105,5526,-388,162,368,35,0
106,5555,-464,-6,368,76,0
107,5583,-340,21,320,28,0
108,5612,-184,-4,324,66,0
109,5641,-520,-28,240,64,0
110,5668,-364,-28,360,0,0
111,5697,-244,2,284,76,0
112,5731,-296,12,280,34,0
113,5760,-376,-63,324,26,0
114,5788,-356,-36,324,18,0
115,5817,-368,48,264,36,0
116,5846,-356,0,324,12,0
117,5873,-184,70,460,48,0
118,5910,-352,57,332,35,0
119,5939,-496,-98,4,-2,0
120,5967,-476,-125,84,11,0
121,5996,-516,-119,8,6,0
122,6024,-716,-129,308,-6,0
123,6052,-552,-18,284,-12,0
124,6081,-388,-85,276,-27,0
125,6110,-284,-6,396,9,0
126,6138,-448,-55,256,-5,0
127,6167,-228,-10,248,28,0
128,6196,-220,-72,132,-11,0
129,6224,-396,-13,188,5,0
130,6257,-464,3,64,-8,0
131,6286,-380,-49,252,6,0
132,6315,-580,-73,160,-2,0
133,6343,-508,-42,360,-21,0
134,6371,-516,28,336,-7,0
135,6400,-504,-81,320,-32,0
136,6428,-108,-51,360,0,0
137,6457,-396,-87,352,-3,0
138,6486,-396,-148,340,-12,0
139,6514,-152,9,228,-8,0
140,6542,-428,-20,88,4,0
141,6571,-380,-115,124,43,0
142,6599,-540,-165,160,46,0
143,6628,-728,-105,84,48,0
144,6657,-680,90,380,-6,0
145,6685,-436,-53,280,-16,0
146,6713,-528,29,104,-77,0
147,6742,-728,-112,264,31,0
148,6770,-492,-162,-80,18,0
149,6805,-628,-361,220,11,0
150,6834,-516,-190,-52,36,0
151,6862,-632,-448,64,82,0
152,6890,-412,-71,144,123,0
153,6919,-500,103,188,58,0
154,6947,-936,93,84,188,0
155,6976,-1120,-165,112,173,0
156,7005,-68,-51,-308,226,0
157,7033,4664,-1664,-108,112,1
158,7062,-732,416,-272,177,1
159,7091,-1656,404,-424,178,1
160,7119,-1436,473,-716,178,1
161,7148,-968,176,-12,67,1
162,7178,-1628,56,-176,165,1
163,7206,-2184,111,-596,191,1
164,7235,-1876,73,-824,98,1
165,7264,-1264,5,-628,160,1
166,7297,-1372,-113,-696,139,1
167,7325,-1380,97,-396,177,1
168,7354,-1756,50,-620,147,1
169,7383,-1840,98,-452,134,1
170,7411,-1668,-16,-360,136,1
171,7440,-1264,-38,-724,132,1
172,7469,-1620,-9,-748,135,1
173,7497,-1944,9,-800,112,1
174,7526,-2076,22,-940,92,1
175,7555,-2288,-82,-952,107,1
176,7583,-2100,-42,-672,101,1
177,7612,-2196,-17,-888,96,1
178,7641,-2032,9,-620,-26,1
179,7669,-1940,-75,-792,70,1
180,7698,-1952,6,-696,53,1
181,7727,-2064,28,-812,81,1
182,7755,-1888,-57,-1048,16,1
183,7790,-2100,-27,-936,-40,1
184,7819,-1836,39,-1032,23,1
185,7847,-1780,-20,-720,-40,1
186,7876,-1844,7,-728,56,1
187,7905,-1732,-7,-720,71,1
188,7933,-2004,25,-1064,53,1
189,7962,-1844,-35,-1264,-56,1
190,7991,-1948,-85,-1072,-46,1
191,8019,-2092,-49,-1000,-110,1
192,8048,-2172,-74,-572,-237,1
193,8077,-2332,-74,-708,-200,1
194,8105,-2424,-131,-892,-168,1
195,8135,-2360,-240,-1152,-146,1
196,8164,-2048,-234,-1348,-108,1
197,8193,-1904,-126,-1496,-63,1
198,8221,-2132,-40,-1368,-71,1
199,8255,-2188,113,-976,-12,1
200,8283,-2124,-7,-1028,-78,1
201,8312,-1964,-66,-744,-43,1
202,8340,-1752,10,-732,-31,1
203,8370,-1272,13,-780,-17,1
204,8397,-1572,69,-392,14,1
205,8426,-1584,-12,-448,41,1
206,8455,-1404,5,-452,25,1
207,8483,-1484,12,-1020,27,1
208,8512,-1528,-19,-784,50,1
209,8541,-1456,-88,-596,63,1
210,8569,-1412,7,-900,87,1
211,8598,-1844,59,-876,27,1
212,8627,-2016,36,-1052,55,1
213,8655,-2020,18,-1024,70,1
214,8684,-1880,-98,-1088,80,1
215,8713,-1952,-2,-1044,78,1
216,8747,-2148,2,-1136,62,1
217,8775,-2112,193,-896,36,1
218,8804,-2024,89,-1068,64,1
219,8833,-1836,132,-1100,18,1
220,8861,-1744,6,-1020,39,1
221,8890,-1780,62,-820,-92,1
222,8919,-1648,77,-1264,14,1
223,8947,-1660,74,-1336,19,1
224,8976,-1720,109,-1316,118,1
225,9005,-1724,151,-1436,78,1
226,9033,-1656,108,-1288,89,1
227,9062,-1696,190,-960,127,1
228,9091,-1520,150,-884,148,1
229,9120,-1424,156,-1008,165,1
230,9149,-1360,164,-940,178,1
231,9178,-1284,160,-760,217,1
232,9206,-1412,153,-936,181,1
233,9239,-1512,59,-808,166,1
234,9268,-1688,135,-796,116,1
235,9296,-1776,225,-1024,133,1
236,9325,-1656,196,-1168,155,1
237,9354,-1684,231,-1328,131,1
238,9382,-1800,177,-1084,76,1
239,9411,-1632,41,-828,83,1
240,9440,-1800,85,-696,107,1
241,9468,-1724,-13,-756,54,1
242,9499,-1584,70,-844,61,1
243,9534,-1540,-68,-740,11,1
244,9563,-1648,53,-852,10,1
245,9591,-1588,-25,-1052,31,1
246,9620,-1680,-1,-832,58,1
247,9649,-1756,99,-840,19,1
