"index","timeReal","AccYHip","GyroYHip","AccYKnee","GyroYKnee","Occupancy"
0,2505,15052,18,7152,72,0
1,2535,15072,127,7012,49,0
2,2565,15196,151,7108,34,0
3,2593,15268,12,7084,5,0
4,2623,15144,-12,6960,-60,0
5,2653,15136,1,7012,-87,0
6,2682,15140,8,7152,-86,0
7,2712,15160,-12,6948,-81,0
8,2742,15052,35,7044,-39,0
9,2771,15036,6,6980,-20,0
10,2801,15116,93,7028,1,0
11,2830,15316,77,7000,22,0
12,2860,15168,-14,7016,45,0
13,2889,15068,9,7012,15,0
14,2919,15148,40,7100,10,0
15,2949,15340,-30,7036,-23,0
16,2982,15136,-1,7064,-45,0
17,3011,15072,-18,7032,-43,0
18,3040,15064,-11,7032,-21,0
19,3068,15184,29,7076,-5,0
20,3097,15260,-49,7064,-14,0
21,3126,15056,-86,7136,-1,0
22,3154,15208,13,7080,1,0
23,3183,15140,14,7020,7,0
24,3212,15164,-13,6988,-2,0
25,3240,15120,-31,6980,16,0
26,3269,15176,-7,7048,37,0
27,3298,15132,54,7040,2,0
28,3326,15072,65,7052,23,0
29,3355,15180,8,7032,12,0
30,3384,15184,-18,7060,-12,0
31,3412,15096,-6,7024,-22,0
32,3441,15164,-31,6940,-30,0
33,3470,15316,18,7064,-20,0
34,3505,15180,76,7080,-35,0
35,3533,15172,11,7084,-101,0
36,3562,15108,102,6984,-105,0
37,3591,15196,82,7128,4,0
38,3619,15268,34,7112,-12,0
39,3648,15200,33,7080,34,0
40,3677,15112,30,7060,75,0
41,3705,15168,-37,6936,98,0
42,3734,15192,-52,7080,17,0
43,3763,15260,36,6960,-57,0
44,3791,15268,-79,6984,-33,0
45,3820,15200,4,7024,-60,0
46,3849,15064,-94,7024,-55,0
47,3877,15252,-112,7168,-77,0
48,3906,15176,-181,7128,-45,0
49,3935,15156,-86,7072,-40,0
50,3963,15080,-30,7092,-42,0
51,3990,15184,26,6988,-17,0
52,4019,15084,74,7000,15,0
53,4047,15160,17,7016,15,0
54,4076,15180,-8,6912,29,0
55,4105,15196,72,7004,10,0
56,4133,15136,-33,7012,25,0
57,4162,15004,83,7020,-17,0
58,4191,15228,178,7052,-28,0
59,4219,15116,218,6904,-64,0
60,4256,15404,-60,7184,-55,0
61,4285,15256,139,7016,-19,0
62,4314,15048,153,7056,34,0
63,4342,15220,67,7076,3,0
64,4371,15220,146,6936,-27,0
65,4400,15192,80,6980,-19,0
66,4428,15292,109,7000,5,0
67,4457,15052,190,6792,-23,0
68,4487,15228,134,7000,173,0
69,4519,15184,44,7044,40,0
70,4548,15112,14,6972,-275,0
71,4577,15320,102,7168,10,0
72,4605,15820,-98,7084,204,0
73,4635,15244,198,6816,-158,0
