"index","Ax","Ay","Az","Gx","Gy","Gz","Gz1","Occupancy"
0 , 1.41 , -0.09 , 10.26 , -0.09 , 0.01 , -0.01 , -0.01 , 1
1 , 1.39 , -0.18 , 9.94 , -0.06 , -0.01 , -0.03 , -0.03 , 1
2 , 1.41 , -0.17 , 10.21 , 0.01 , -0.03 , -0.04 , -0.04 , 1
3 , 1.52 , -0.05 , 10.18 , -0.02 , -0.02 , -0.01 , -0.01 , 1
4 , 1.42 , -0.16 , 10.23 , -0.03 , -0.02 , -0.02 , -0.02 , 1
5 , 1.49 , -0.12 , 10.11 , -0.02 , -0.02 , -0.02 , -0.02 , 1
6 , 1.53 , -0.11 , 10.21 , -0.01 , -0.02 , -0.01 , -0.01 , 1
7 , 1.45 , -0.12 , 10.14 , -0.03 , -0.01 , -0.01 , -0.01 , 1
8 , 1.41 , -0.16 , 10.10 , -0.01 , -0.01 , -0.02 , -0.02 , 1
9 , 1.47 , -0.09 , 10.20 , 0.05 , -0.03 , -0.01 , -0.01 , 1
10 , 1.52 , -0.09 , 10.23 , -0.01 , -0.01 , -0.03 , -0.03 , 1
11 , 1.50 , -0.06 , 10.23 , -0.01 , -0.02 , -0.02 , -0.02 , 1
12 , 1.51 , -0.04 , 10.14 , -0.02 , -0.01 , -0.01 , -0.01 , 1
13 , 1.46 , -0.06 , 10.21 , -0.02 , -0.01 , -0.01 , -0.01 , 1
14 , 1.49 , -0.07 , 10.20 , -0.03 , -0.01 , -0.01 , -0.01 , 1
15 , 1.48 , -0.08 , 10.16 , -0.04 , 0.01 , -0.01 , -0.01 , 1
16 , 1.47 , -0.07 , 10.16 , -0.04 , 0.03 , -0.02 , -0.02 , 1
17 , 1.45 , -0.07 , 10.16 , -0.02 , -0.00 , -0.01 , -0.01 , 1
18 , 1.48 , -0.07 , 10.17 , -0.02 , -0.10 , 0.01 , 0.01 , 1
19 , 1.59 , -0.06 , 9.97 , 0.04 , -0.17 , 0.02 , 0.02 , 1
20 , 1.58 , 0.11 , 10.13 , 0.14 , -0.13 , 0.01 , 0.01 , 1
21 , 1.72 , 0.11 , 10.25 , 0.18 , -0.12 , -0.01 , -0.01 , 1
22 , 1.70 , 0.14 , 10.39 , 0.08 , -0.04 , -0.03 , -0.03 , 1
23 , 1.67 , 0.16 , 10.50 , -0.17 , 0.17 , -0.05 , -0.05 , 1
24 , 1.58 , 0.06 , 10.18 , -0.32 , 0.32 , -0.06 , -0.06 , 1
25 , 1.38 , -0.11 , 10.04 , -0.31 , 0.34 , -0.02 , -0.02 , 1
26 , 1.20 , -0.17 , 10.04 , -0.09 , 0.15 , 0.01 , 0.01 , 1
27 , 1.10 , -0.19 , 10.13 , 0.03 , 0.03 , 0.02 , 0.02 , 1
28 , 1.27 , -0.06 , 10.03 , 0.23 , -0.40 , 0.04 , 0.04 , 1
29 , 1.42 , -0.03 , 10.35 , 0.21 , -0.53 , 0.05 , 0.05 , 1
30 , 1.55 , 0.08 , 10.30 , 0.06 , -0.30 , 0.01 , 0.01 , 1
31 , 1.75 , 0.14 , 10.06 , -0.05 , 0.00 , -0.04 , -0.04 , 1
32 , 1.81 , 0.11 , 10.19 , -0.04 , -0.05 , -0.02 , -0.02 , 1
33 , 1.93 , 0.14 , 9.72 , 0.09 , -0.12 , -0.02 , -0.02 , 1
34 , 1.90 , 0.27 , 10.00 , 0.26 , -0.15 , -0.03 , -0.03 , 1
35 , 1.82 , 0.37 , 10.45 , 0.16 , 0.06 , -0.04 , -0.04 , 1
36 , 1.72 , 0.41 , 10.63 , -0.14 , 0.34 , -0.07 , -0.07 , 1
37 , 1.59 , 0.28 , 10.24 , -0.37 , 0.46 , -0.09 , -0.09 , 1
38 , 1.45 , 0.04 , 9.78 , -0.29 , 0.24 , -0.06 , -0.06 , 1
39 , 1.30 , 0.00 , 9.93 , -0.08 , -0.09 , -0.00 , -0.00 , 1
40 , 1.48 , 0.09 , 9.91 , 0.14 , -0.29 , 0.03 , 0.03 , 1
41 , 1.50 , 0.19 , 10.21 , 0.26 , -0.37 , 0.01 , 0.01 , 1
42 , 1.76 , 0.38 , 10.32 , 0.19 , -0.30 , -0.02 , -0.02 , 1
43 , 1.79 , 0.42 , 10.28 , 0.08 , -0.25 , -0.04 , -0.04 , 1
44 , 2.08 , 0.35 , 10.23 , -0.12 , -0.08 , -0.06 , -0.06 , 1
45 , 1.92 , 0.29 , 10.09 , -0.26 , 0.08 , -0.04 , -0.04 , 1
46 , 1.93 , 0.18 , 9.93 , -0.20 , 0.18 , -0.01 , -0.01 , 1
47 , 1.75 , 0.12 , 10.37 , -0.12 , 0.29 , 0.00 , 0.00 , 1
48 , 1.67 , 0.04 , 10.10 , -0.09 , 0.27 , 0.01 , 0.01 , 1
49 , 1.47 , -0.02 , 10.28 , -0.15 , 0.10 , 0.01 , 0.01 , 1
50 , 1.41 , -0.08 , 10.07 , -0.20 , -0.03 , 0.00 , 0.00 , 1
51 , 1.44 , -0.15 , 9.93 , -0.14 , -0.02 , -0.01 , -0.01 , 1
52 , 1.51 , -0.10 , 10.06 , 0.08 , 0.01 , -0.01 , -0.01 , 1
53 , 1.64 , -0.10 , 10.23 , 0.28 , -0.11 , -0.01 , -0.01 , 1
54 , 1.42 , 0.11 , 10.19 , 0.25 , -0.08 , -0.03 , -0.03 , 1
55 , 1.49 , 0.18 , 10.10 , 0.04 , 0.07 , -0.04 , -0.04 , 1
56 , 1.52 , 0.23 , 10.41 , -0.08 , 0.07 , -0.03 , -0.03 , 1
57 , 1.46 , 0.17 , 10.33 , -0.25 , 0.05 , -0.05 , -0.05 , 1
58 , 1.67 , 0.01 , 9.93 , -0.22 , -0.12 , -0.01 , -0.01 , 1
59 , 1.58 , 0.05 , 9.73 , 0.04 , -0.18 , 0.04 , 0.04 , 1
60 , 1.64 , 0.15 , 10.10 , 0.25 , -0.33 , 0.06 , 0.06 , 1
61 , 1.86 , 0.21 , 10.41 , 0.22 , -0.19 , 0.01 , 0.01 , 1
62 , 1.76 , 0.34 , 10.23 , 0.15 , -0.08 , -0.01 , -0.01 , 1
63 , 1.94 , 0.39 , 10.10 , 0.02 , 0.07 , -0.02 , -0.02 , 1
64 , 1.71 , 0.31 , 10.33 , -0.12 , 0.27 , -0.03 , -0.03 , 1
65 , 1.50 , 0.24 , 10.34 , -0.37 , 0.33 , -0.05 , -0.05 , 1
66 , 1.45 , 0.06 , 10.13 , -0.33 , 0.17 , -0.02 , -0.02 , 1
67 , 1.39 , -0.06 , 10.01 , -0.25 , -0.02 , -0.00 , -0.00 , 1
68 , 1.43 , -0.14 , 9.88 , -0.09 , -0.05 , -0.01 , -0.01 , 1
69 , 1.38 , -0.21 , 10.35 , 0.02 , -0.11 , -0.02 , -0.02 , 1
70 , 1.47 , -0.18 , 10.15 , -0.04 , -0.14 , -0.02 , -0.02 , 1
71 , 1.70 , -0.09 , 9.73 , 0.17 , -0.12 , 0.02 , 0.02 , 1
72 , 1.65 , 0.22 , 10.43 , 0.56 , -0.26 , 0.04 , 0.04 , 1
73 , 1.76 , 0.38 , 10.73 , 0.44 , -0.15 , 0.01 , 0.01 , 1
74 , 1.79 , 0.40 , 10.18 , -0.09 , 0.13 , -0.01 , -0.01 , 1
75 , 1.67 , 0.30 , 10.07 , -0.38 , 0.27 , -0.02 , -0.02 , 1
76 , 1.47 , 0.11 , 10.23 , -0.51 , 0.31 , -0.05 , -0.05 , 1
77 , 1.44 , -0.02 , 9.84 , -0.19 , 0.08 , -0.03 , -0.03 , 1
78 , 1.47 , -0.13 , 10.23 , 0.01 , -0.24 , -0.01 , -0.01 , 1
79 , 1.49 , -0.18 , 10.19 , -0.03 , -0.26 , -0.04 , -0.04 , 1
80 , 1.53 , -0.12 , 10.13 , -0.05 , 0.00 , -0.07 , -0.07 , 1
81 , 1.41 , -0.20 , 10.09 , -0.25 , 0.29 , -0.10 , -0.10 , 1
82 , 1.37 , -0.35 , 10.32 , -0.47 , 0.35 , -0.09 , -0.09 , 1
83 , 1.23 , -0.51 , 10.03 , -0.12 , 0.31 , -0.02 , -0.02 , 1
84 , 0.92 , -0.58 , 10.26 , 0.16 , 0.31 , -0.03 , -0.03 , 1
85 , 1.00 , -0.42 , 10.05 , 0.22 , -0.24 , -0.04 , -0.04 , 1
86 , 1.25 , -0.24 , 9.99 , 0.21 , -0.72 , -0.10 , -0.10 , 1
87 , 1.56 , -0.11 , 10.24 , 0.16 , -0.72 , -0.11 , -0.11 , 1
88 , 1.74 , -0.10 , 10.43 , 0.06 , -0.30 , -0.06 , -0.06 , 1
89 , 1.78 , -0.05 , 10.42 , -0.04 , 0.43 , 0.03 , 0.03 , 1
90 , 1.42 , -0.00 , 10.35 , 0.02 , 0.78 , 0.12 , 0.12 , 1
91 , 1.28 , 0.19 , 9.83 , 0.41 , 0.53 , 0.19 , 0.19 , 1
92 , 1.12 , 0.35 , 9.85 , 0.52 , -0.09 , 0.15 , 0.15 , 1
93 , 1.04 , 0.54 , 10.46 , 0.24 , -0.28 , 0.04 , 0.04 , 1
94 , 1.10 , 0.54 , 10.31 , -0.29 , -0.28 , -0.09 , -0.09 , 1
95 , 1.37 , 0.24 , 10.18 , -0.74 , -0.23 , -0.14 , -0.14 , 1
96 , 1.42 , -0.21 , 10.11 , -1.00 , -0.16 , -0.14 , -0.14 , 1
97 , 1.38 , -0.64 , 10.07 , -0.77 , 0.12 , -0.06 , -0.06 , 1
98 , 1.20 , -0.93 , 10.35 , -0.04 , 0.59 , 0.02 , 0.02 , 1
99 , 1.06 , -0.92 , 10.33 , 0.33 , 0.43 , 0.01 , 0.01 , 1
100 , 0.98 , -0.66 , 10.05 , 0.36 , -0.15 , -0.02 , -0.02 , 1
101 , 1.05 , -0.40 , 10.00 , 0.41 , -0.46 , -0.05 , -0.05 , 1
102 , 1.28 , -0.08 , 10.20 , 0.49 , -0.43 , -0.04 , -0.04 , 1
103 , 1.33 , 0.09 , 10.83 , 0.24 , -0.17 , -0.07 , -0.07 , 1
104 , 1.12 , 0.16 , 10.57 , -0.35 , 0.62 , -0.07 , -0.07 , 1
105 , 0.96 , -0.05 , 9.77 , -0.55 , 0.95 , -0.05 , -0.05 , 1
106 , 0.65 , -0.34 , 9.92 , -0.33 , 0.48 , 0.04 , 0.04 , 1
107 , 0.55 , -0.27 , 10.02 , 0.05 , -0.43 , 0.04 , 0.04 , 1
108 , 0.98 , -0.31 , 10.28 , 0.35 , -0.96 , -0.01 , -0.01 , 1
109 , 1.20 , -0.09 , 10.31 , 0.53 , -0.77 , -0.03 , -0.03 , 1
110 , 1.55 , 0.24 , 10.47 , 0.52 , -0.21 , -0.01 , -0.01 , 1
111 , 1.55 , 0.60 , 10.18 , 0.21 , 0.23 , -0.01 , -0.01 , 1
